mode,count,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,9,0.590111111,"""Cats"" 1981 Original London Cast",0.467222222,250318.5556,0.394003333,0.011399851,0.290833333,-14.448,0.210388889,117.5181111,0.3895,38.33333333,5
1,26,0.862538462,"""Cats"" 1983 Broadway Cast",0.441730769,287280,0.406807692,0.081158264,0.315215385,-10.69,0.176211538,103.0441538,0.268865385,30.57692308,5
1,7,0.856571429,"""Fiddler On The Roof” Motion Picture Chorus",0.348285714,328920,0.286571429,0.024592949,0.325785714,-15.23071429,0.118514286,77.37585714,0.354857143,34.85714286,0
1,27,0.884925926,"""Fiddler On The Roof” Motion Picture Orchestra",0.425074074,262890.963,0.24577037,0.073587279,0.275481481,-15.63937037,0.1232,88.66762963,0.37202963,34.85185185,0
1,7,0.510714286,"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",0.467142857,270436.1429,0.488285714,0.009400291,0.195,-10.23671429,0.098542857,122.8358571,0.482285714,43,5
1,36,0.609555556,"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",0.487277778,205091.9444,0.309905556,0.004695657,0.274766667,-18.26638889,0.098022222,118.6489444,0.441555556,32.77777778,5
1,2,0.725,"""Mama"" Helen Teagarden",0.637,135533,0.512,0.186,0.426,-20.615,0.21,134.819,0.885,0,8
1,2,0.927,"""Test for Victor Young""",0.734,175693,0.474,0.0762,0.737,-10.544,0.256,132.788,0.902,3,10
1,122,0.173145082,"""Weird Al"" Yankovic",0.662786885,218948.1967,0.695393443,4.98E-05,0.161101639,-9.768704918,0.084536066,133.0311803,0.751344262,34.2295082,9
1,15,0.544466667,$NOT,0.7898,137910.4667,0.532933333,0.023062583,0.1803,-9.149266667,0.293686667,112.3448,0.4807,67.53333333,1
1,2,0.239,$atori Zoom,0.883,141519,0.625,0,0.0765,-4.098,0.245,126.677,0.871,67,6
1,1,0.000122,$pyda,0.514,331240,0.899,0.0793,0.367,-5.115,0.0602,174.028,0.266,59,7
1,2,0.1481,$tupid Young,0.854,190572,0.683,2.08E-06,0.1885,-6.997,0.221,100.7245,0.6255,57.5,1
1,125,0.14148488,$uicideBoy$,0.749344,146386.392,0.635552,0.045675096,0.2022528,-6.631304,0.156108,115.022024,0.2872856,61.8,1
1,13,0.624769231,'In The Heights' Original Broadway Company,0.563615385,314023.6154,0.457692308,8.69E-06,0.204384615,-8.338461538,0.152453846,117.0068462,0.467538462,47.69230769,7
1,9,0.553888889,'Legally Blonde' Ensemble,0.648444444,304211.8889,0.441111111,2.54E-05,0.214666667,-11.45977778,0.495111111,114.8084444,0.524777778,48.66666667,2
1,2,0.6045,'Legally Blonde' Greek Chorus,0.7735,361780,0.3095,0,0.2222,-12.669,0.289,105.7,0.5965,48,10
1,16,0.10555625,'Til Tuesday,0.557125,255213.5,0.61225,0.023300253,0.1275875,-9.638125,0.03215,103.08025,0.532625,34.625,0
1,2,0.847,((( O ))),0.41,311837,0.169,0.00327,0.117,-11.422,0.0485,89.494,0.208,67,3
1,2,0.538,(Con La Participación de Marc Anthony),0.731,361440,0.794,2.39E-05,0.0736,-4.182,0.0408,88.003,0.873,43,5
0,4,0.011235,(G)I-DLE,0.6405,196969,0.8,0,0.252,-4.4735,0.04875,151.01325,0.375,79.25,1
1,10,0.0116314,(Hed) P.E.,0.5892,253677.4,0.8792,2.03E-06,0.17112,-5.2598,0.17214,134.9694,0.427,45.8,2
1,105,0.191610743,*NSYNC,0.608742857,236775.1524,0.694428571,0.00270321,0.20286,-6.2738,0.057138095,115.6158857,0.564780952,45.37142857,0
1,8,0.01281645,44,0.4515,205250,0.88325,2.40E-06,0.1507,-4.26175,0.079075,168.37125,0.39125,43.5,2
1,2,0.00841,...And You Will Know Us by the Trail of Dead,0.255,273624,0.858,0.000355,0.513,-5.085,0.0694,144.653,0.237,36,7
1,2,0.000155,...Bender,0.542,226000,0.894,0.00104,0.116,-5.025,0.0537,119.128,0.336,42,1
0,7,0.122685714,03 Greedo,0.688428571,220377.7143,0.586857143,5.71E-07,0.148185714,-7.505285714,0.058714286,87.36128571,0.372857143,59.28571429,1
0,1,0.0114,070 Shake,0.696,398106,0.667,0,0.181,-7.665,0.0407,121.932,0.287,63,0
0,2,0.0217,10 Ft. Ganja Plant,0.789,236253,0.793,0.826,0.112,-6.629,0.107,149.368,0.743,50,4
1,14,0.110858843,10 Years,0.408428571,209857,0.748857143,0.000233179,0.152985714,-5.050857143,0.044885714,150.5227143,0.328714286,48.71428571,6
1,42,0.190832857,"10,000 Maniacs",0.58447619,236012.619,0.54207619,0.008760404,0.229704762,-13.28804762,0.037852381,118.4760952,0.573809524,37,9
1,4,0.15845,100 gecs,0.61925,126605.25,0.59575,0,0.37175,-6.588,0.2125,114.87475,0.78125,68,6
1,16,0.588875,101 Strings Orchestra,0.292525,173106.375,0.397,0.7145375,0.195375,-13.496375,0.037975,100.623125,0.391525,27,0
1,38,0.230821053,10cc,0.560631579,298796.5789,0.567315789,0.007471384,0.152094737,-10.35405263,0.066110526,121.8002632,0.555,41.57894737,7
0,2,0.27,05-Nov,0.929,182373,0.661,1.52E-06,0.0879,-6.794,0.171,114.973,0.708,37,1
1,48,0.138617917,112,0.677416667,270513.9167,0.533395833,0.000164532,0.13380625,-7.616583333,0.106570833,114.6452708,0.551166667,50.16666667,1
1,2,0.991,12 Pianists,0.414,137733,0.0187,0.892,0.0513,-39.385,0.0557,74.477,0.195,52,7
1,12,0.0802665,12 Stones,0.385833333,204280.1667,0.888833333,2.73E-06,0.249233333,-3.887,0.0693,138.6921667,0.450666667,50.5,5
0,8,0.104675,13th Floor Elevators,0.51175,155419.75,0.77175,0.387,0.1158,-6.578,0.076775,140.934,0.7645,31.75,2
0,6,0.67,1422,0.466333333,42615,0.874666667,0.11756823,0.391,-4.884,0.216633333,98.25366667,0.658333333,32,7
1,2,0.8915,1776 Ensemble,0.5895,193206.5,0.4025,0,0.4725,-11.3485,0.172,97.4035,0.594,23,0
1,1,0.08,1776 Orchestra,0.739,113493,0.518,0.865,0.0917,-15.621,0.0979,120.939,0.222,19,11
1,8,0.4185,1910 Fruitgum Company,0.757,140750,0.60525,0.00077785,0.12425,-9.72575,0.044725,128.4975,0.8995,24.25,9
0,18,0.319855556,1986 Omega Tribe,0.68,274628,0.612111111,0.028257169,0.169333333,-13.46788889,0.031933333,121.7952222,0.834888889,38.22222222,9
0,2,0.735,1way Frank,0.783,170867,0.38,1.58E-06,0.158,-8.507,0.0974,99.802,0.84,56,10
0,4,0.03799,2 Brothers On The 4th Floor,0.699,257617.5,0.9475,0.1541665,0.5155,-4.6865,0.0536,131.0075,0.6895,59.5,7
1,127,0.135492835,2 Chainz,0.749314961,235681.5197,0.650291339,0.000506916,0.218785039,-6.109748031,0.222076378,130.1137717,0.496820472,57.02362205,1
1,2,0.00147,2 Crows,0.588,183554,0.788,2.09E-05,0.378,-5.582,0.0341,96.007,0.382,0,7
0,2,0.0717,2 Guys n the Parque,0.814,93600,0.879,0,0.0401,-5.416,0.12,120.113,0.962,47,11
0,2,0.0782,2 Hyped Brothers & A Dog,0.906,338533,0.382,3.21E-05,0.113,-13.632,0.282,126.073,0.63,30,9
1,2,0.0718,2 In A Room,0.781,244133,0.838,5.42E-06,0.0381,-13.943,0.0494,122.819,0.849,29,2
1,42,0.052960762,2 LIVE CREW,0.873095238,233437.4286,0.660333333,0.013121117,0.390152381,-11.56585714,0.186066667,126.4129524,0.610333333,35.80952381,7
0,1,0.00436,2 Pistols,0.53,274053,0.745,0,0.345,-6.19,0.106,134.068,0.269,51,10
0,8,0.03078,2 Unlimited,0.69825,228208,0.92175,0.00642235,0.083525,-11.52175,0.059025,130.9715,0.7685,55.75,5
1,2,0.0348,2* Sweet,0.788,1428097,0.687,2.03E-05,0.148,-13.304,0.152,102.345,0.897,45,1
0,3,0.002187667,20 Fingers,0.879333333,235719.6667,0.791666667,0.2565,0.0876,-9.099,0.062033333,127.0146667,0.821666667,56.33333333,11
1,2,0.0443,20-2-Life,0.851,403467,0.451,0.297,0.127,-10.707,0.267,117.847,0.25,33,11
1,2,0.000236,20/20,0.458,257733,0.541,0.00183,0.0371,-12.131,0.0485,133.573,0.577,27,2
1,6,0.905,2002,0.229,267840.3333,0.155,0.852333333,0.105266667,-19.01433333,0.035533333,114.312,0.063333333,48.33333333,7
1,8,0.475,2004 Hawaii Music Awards Compilation Of The Year,0.463,218640,0.40225,0.2006925,0.24375,-10.9785,0.030075,125.39125,0.4055,1.25,9
1,2,0.995,2014 ATHINAIKI DISCOGRAFIKI,0.501,189453,0.341,0.0117,0.418,-11.514,0.0814,109.956,0.621,0,2
1,6,0.831,20th Century Fox Studio Orchestra,0.346666667,101480.3333,0.326,0.810333333,0.336766667,-13.196,0.036933333,100.0243333,0.632666667,0,5
1,89,0.13172491,21 Savage,0.781764045,215299.4607,0.553202247,0.036787304,0.173995506,-7.367921348,0.284042697,125.4378202,0.338211236,67.01123596,1
1,1,0.948,"22, Little Red, Tangle Eye & Hard Hair",0.789,278082,0.352,0.000778,0.0867,-9.337,0.66,139.616,0.659,16,8
1,2,4.58E-05,220 Volt,0.834,309747,0.605,0.454,0.295,-14.531,0.248,139.997,0.515,0,7
1,2,0.281,22Gz,0.83,190746,0.574,0,0.124,-6.892,0.701,143.892,0.538,70,11
0,2,0.206,24 Horas,0.814,230267,0.68,0,0.101,-6.928,0.043,126.976,0.963,44,7
1,4,0.0598,24hrs,0.5405,197806.5,0.74,0,0.12435,-5.4345,0.18005,117.9925,0.34,66.5,1
0,19,0.144525263,24kGoldn,0.742947368,162868.0526,0.655684211,0.008539196,0.146673684,-5.020052632,0.112747368,120.7606316,0.545252632,74.26315789,0
1,2,0.428,27CLUB,0.514,155893,0.712,8.77E-06,0.112,-7.281,0.334,76.393,0.487,68,2
1,2,0.0158,2Baba,0.591,283000,0.602,0,0.278,-7.483,0.386,147.957,0.355,0,1
1,4,0.603,2CELLOS,0.5865,253046.5,0.499,0.42984,0.149,-8.705,0.04035,122.251,0.6005,59,2
1,4,0.2912,2KBABY,0.6225,147745,0.418,0,0.203,-9.2685,0.479,103.163,0.402,69.5,11
1,6,0.085223333,2NE1,0.688,217679.3333,0.732,0.033413333,0.0928,-3.418333333,0.038833333,128.237,0.59,58.66666667,4
1,2,0.176,2PM,0.615,200827,0.901,0,0.204,-4.457,0.0302,131.989,0.779,48,3
1,272,0.133566868,2Pac,0.773393382,262530.9191,0.704150735,0.007963721,0.224100735,-7.133066176,0.223157353,107.8097904,0.607426471,49.125,1
1,1,0.0938,2Pac a.k.a. Makaveli,0.893,293840,0.576,0,0.0758,-7.514,0.357,94.307,0.861,42,1
0,1,0.1,2WEI,0.14,204587,0.478,0.000112,0.105,-10.145,0.0484,185.121,0.0412,75,1
1,4,0.6055,2nd Chapter Of Acts,0.433,169067,0.3765,0,0.1148,-11.4885,0.0277,89.173,0.442,28.5,1
1,1,0.0013,2nd Generation Outlawz,0.516,247060,0.452,2.69E-06,0.128,-8.204,0.0322,130.069,0.0412,0,1
0,7,0.046651429,2nd II None,0.907142857,225805.7143,0.533,1.45E-06,0.295428571,-11.43957143,0.224857143,102.7008571,0.766285714,35.14285714,6
1,4,0.5895,2nd South Carolina String Band,0.5515,345866.5,0.639,8.15E-07,0.2195,-7.9145,0.04625,103.9895,0.6225,41,2
1,1,0.0757,2toxic,0.764,214689,0.403,0,0.0443,-10.295,0.358,96.114,0.349,16,1
1,51,0.040607529,3 Doors Down,0.505862745,232945.6078,0.789901961,0.006610647,0.160898039,-5.749568627,0.038417647,130.7540588,0.451823529,50.01960784,7
0,2,6.40E-05,3 Inches Of Blood,0.367,271160,0.961,0.00119,0.11,-3.186,0.0807,97,0.237,46,9
1,2,0.479,3 in One,0.599,202857,0.471,0,0.133,-8.552,0.0945,121.11,0.547,0,6
1,106,0.020677875,311,0.615735849,209539.8679,0.824018868,0.013856277,0.169637736,-7.346490566,0.065045283,134.8383208,0.618577358,40.45283019,9
0,2,0.671,347aidan,0.98,180139,0.413,7.95E-05,0.17,-11.052,0.101,119.993,0.764,77,8
0,2,0.113,35MM: A Musical Exhibition Original Cast,0.772,289587,0.615,0,0.0581,-7.983,0.0633,119.962,0.704,54,8
1,2,0.00119,36 Crazyfists,0.585,198600,0.931,2.46E-05,0.115,-4.843,0.0847,160.079,0.814,53,0
1,78,0.029172821,38 Special,0.529076923,254299.0769,0.621897436,0.028740014,0.12165641,-11.3754359,0.032105128,126.7031282,0.778461538,32.79487179,0
1,2,0.1492,3BallMTY,0.7285,211386.5,0.916,1.56E-05,0.133,-4.36,0.18375,131.919,0.8585,55,1
1,1,0.183,3LAU,0.496,210469,0.789,0,0.34,-3.648,0.0839,127.961,0.286,52,1
0,5,0.0558,3LW,0.7178,272055.8,0.7196,2.17E-05,0.15058,-5.9238,0.11084,129.6848,0.6678,49.4,6
1,20,0.020766,3OH!3,0.68375,193600.85,0.7932,4.45E-05,0.31715,-3.92975,0.17853,125.77265,0.54965,53.95,5
0,3,0.349666667,3T,0.669666667,320777.6667,0.435666667,0.000150967,0.330666667,-11.056,0.0342,113.091,0.479333333,45.33333333,10
0,2,0.0165,3X Krazy,0.719,358467,0.686,0,0.236,-4.169,0.0829,95.19,0.49,46,10
1,6,0.159066667,3rd Bass,0.850333333,245560,0.665666667,0,0.157866667,-13.846,0.253333333,105.8423333,0.650333333,28.33333333,4
1,2,0.0075,3rd Strike,0.444,249827,0.859,4.32E-05,0.24,-4.962,0.0484,99.655,0.394,38,2
1,4,0.02194,3年E組うた担(渚&茅野&業&磯貝&前原),0.515,257513.5,0.966,1.45E-05,0.2695,-2.603,0.0696,178.48,0.8115,59.5,7
1,12,0.18415,4 Non Blondes,0.528666667,239673.3333,0.57,5.10E-07,0.126633333,-10.1005,0.03825,117.8765,0.446166667,48.33333333,7
0,2,0.749,4 P.M.,0.363,162093,0.388,0,0.363,-8.608,0.034,76.099,0.348,37,11
0,4,0.0104,4 Skins,0.2655,158007,0.9295,2.61E-06,0.6155,-4.733,0.125,154.4345,0.4985,33.5,11
0,2,0.00212,4 Strings,0.617,190427,0.79,0.0455,0.159,-6.983,0.0365,138.001,0.267,57,3
1,2,0.0102,40 Thevz,0.76,311040,0.585,0.000476,0.308,-7.307,0.161,91.179,0.455,52,3
0,9,0.196977778,42 Dugg,0.846888889,175771,0.566555556,0,0.151466667,-6.050555556,0.340888889,126.2526667,0.339666667,69.22222222,1
1,2,0.885,42nd Street Ensemble,0.314,301040,0.395,7.93E-06,0.293,-11.237,0.0538,165.023,0.362,4,7
1,8,0.016083825,45 Grave,0.4175,162716.75,0.79125,0.41150196,0.139525,-8.59175,0.066975,155.6615,0.64775,30.5,9
1,2,0.784,4509 STARPASS Prodcutions,0.628,256981,0.091,0.000944,0.102,-18.878,0.0398,130.486,0.152,0,0
1,6,0.282333333,4Him,0.476333333,290636.3333,0.487333333,0.001573783,0.111333333,-10.05633333,0.030133333,111.2396667,0.311666667,33.66666667,4
1,2,0.00589,4Minute,0.54,192400,0.929,4.01E-06,0.424,-2.646,0.278,176.023,0.624,61,7
1,65,0.043567354,5 Seconds of Summer,0.547307692,195593.0769,0.804584615,1.55E-05,0.181710769,-4.599892308,0.104403077,141.8839231,0.520938462,61.01538462,0
1,178,0.122386348,50 Cent,0.695039326,234964.0899,0.76238764,0.000548475,0.198361236,-4.149426966,0.259516292,105.929427,0.589769663,52.34269663,1
1,12,0.791833333,50 Guitars of Tommy Garrett,0.496166667,168044.3333,0.286166667,0.22638,0.112466667,-12.67116667,0.0331,117.9436667,0.4965,25.66666667,7
1,4,0.01643,504 Boyz,0.809,212434,0.624,0,0.2355,-8.81,0.2565,125.0315,0.532,47.5,11
