genres,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
"['comedy rock', 'comic', 'parody']","""Weird Al"" Yankovic",0.173145082,0.662786885,218948.1967,0.695393443,4.98E-05,0.161101639,-9.768704918,0.084536066,133.0311803,0.751344262,34.2295082,9,1,122
"['dark trap', 'meme rap']",$atori Zoom,0.239,0.883,141519,0.625,0,0.0765,-4.098,0.245,126.677,0.871,67,6,1,2
"['dark trap', 'new orleans rap', 'underground hip hop']",$uicideBoy$,0.14148488,0.749344,146386.392,0.635552,0.045675096,0.2022528,-6.631304,0.156108,115.022024,0.2872856,61.8,1,1,125
"['broadway', 'hollywood', 'show tunes']",'Legally Blonde' Ensemble,0.553888889,0.648444444,304211.8889,0.441111111,2.54E-05,0.214666667,-11.45977778,0.495111111,114.8084444,0.524777778,48.66666667,2,1,9
"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']",'Til Tuesday,0.10555625,0.557125,255213.5,0.61225,0.023300253,0.1275875,-9.638125,0.03215,103.08025,0.532625,34.625,0,1,16
"['k-pop', 'k-pop girl group']",(G)I-DLE,0.011235,0.6405,196969,0.8,0,0.252,-4.4735,0.04875,151.01325,0.375,79.25,1,0,4
"['boy band', 'dance pop', 'europop', 'pop']",*NSYNC,0.191610743,0.608742857,236775.1524,0.694428571,0.00270321,0.20286,-6.2738,0.057138095,115.6158857,0.564780952,45.37142857,0,1,105
"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']",03 Greedo,0.122685714,0.688428571,220377.7143,0.586857143,5.71E-07,0.148185714,-7.505285714,0.058714286,87.36128571,0.372857143,59.28571429,1,0,7
"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']",10 Ft. Ganja Plant,0.0217,0.789,236253,0.793,0.826,0.112,-6.629,0.107,149.368,0.743,50,4,0,2
"['alternative rock', 'dance rock', 'folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock']","10,000 Maniacs",0.190832857,0.58447619,236012.619,0.54207619,0.008760404,0.229704762,-13.28804762,0.037852381,118.4760952,0.573809524,37,9,1,42
