index,mode,count,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,1,122,0.173145082,"""Weird Al"" Yankovic",0.662786885,218948.1967,0.695393443,4.98E-05,0.161101639,-9.768704918,0.084536066,133.0311803,0.751344262,34.2295082
1,1,2,0.239,$atori Zoom,0.883,141519,0.625,0,0.0765,-4.098,0.245,126.677,0.871,67
2,1,125,0.14148488,$uicideBoy$,0.749344,146386.392,0.635552,0.045675096,0.2022528,-6.631304,0.156108,115.022024,0.2872856,61.8
3,1,9,0.553888889,'Legally Blonde' Ensemble,0.648444444,304211.8889,0.441111111,2.54E-05,0.214666667,-11.45977778,0.495111111,114.8084444,0.524777778,48.66666667
4,1,16,0.10555625,'Til Tuesday,0.557125,255213.5,0.61225,0.023300253,0.1275875,-9.638125,0.03215,103.08025,0.532625,34.625
5,0,4,0.011235,(G)I-DLE,0.6405,196969,0.8,0,0.252,-4.4735,0.04875,151.01325,0.375,79.25
6,1,105,0.191610743,*NSYNC,0.608742857,236775.1524,0.694428571,0.00270321,0.20286,-6.2738,0.057138095,115.6158857,0.564780952,45.37142857
7,0,7,0.122685714,03 Greedo,0.688428571,220377.7143,0.586857143,5.71E-07,0.148185714,-7.505285714,0.058714286,87.36128571,0.372857143,59.28571429
8,0,2,0.0217,10 Ft. Ganja Plant,0.789,236253,0.793,0.826,0.112,-6.629,0.107,149.368,0.743,50
9,1,42,0.190832857,"10,000 Maniacs",0.58447619,236012.619,0.54207619,0.008760404,0.229704762,-13.28804762,0.037852381,118.4760952,0.573809524,37
10,1,16,0.588875,101 Strings Orchestra,0.292525,173106.375,0.397,0.7145375,0.195375,-13.496375,0.037975,100.623125,0.391525,27
11,1,38,0.230821053,10cc,0.560631579,298796.5789,0.567315789,0.007471384,0.152094737,-10.35405263,0.066110526,121.8002632,0.555,41.57894737
12,1,48,0.138617917,112,0.677416667,270513.9167,0.533395833,0.000164532,0.13380625,-7.616583333,0.106570833,114.6452708,0.551166667,50.16666667
13,1,12,0.0802665,12 Stones,0.385833333,204280.1667,0.888833333,2.73E-06,0.249233333,-3.887,0.0693,138.6921667,0.450666667,50.5
14,1,8,0.4185,1910 Fruitgum Company,0.757,140750,0.60525,0.00077785,0.12425,-9.72575,0.044725,128.4975,0.8995,24.25
15,0,2,0.735,1way Frank,0.783,170867,0.38,1.58E-06,0.158,-8.507,0.0974,99.802,0.84,56
16,1,127,0.135492835,2 Chainz,0.749314961,235681.5197,0.650291339,0.000506916,0.218785039,-6.109748031,0.222076378,130.1137717,0.496820472,57.02362205
17,1,42,0.052960762,2 LIVE CREW,0.873095238,233437.4286,0.660333333,0.013121117,0.390152381,-11.56585714,0.186066667,126.4129524,0.610333333,35.80952381
18,0,8,0.03078,2 Unlimited,0.69825,228208,0.92175,0.00642235,0.083525,-11.52175,0.059025,130.9715,0.7685,55.75
19,1,2,0.0443,20-2-Life,0.851,403467,0.451,0.297,0.127,-10.707,0.267,117.847,0.25,33
20,1,6,0.905,2002,0.229,267840.3333,0.155,0.852333333,0.105266667,-19.01433333,0.035533333,114.312,0.063333333,48.33333333
21,1,2,4.58E-05,220 Volt,0.834,309747,0.605,0.454,0.295,-14.531,0.248,139.997,0.515,0
22,1,2,0.281,22Gz,0.83,190746,0.574,0,0.124,-6.892,0.701,143.892,0.538,70
23,1,4,0.0598,24hrs,0.5405,197806.5,0.74,0,0.12435,-5.4345,0.18005,117.9925,0.34,66.5
24,0,19,0.144525263,24kGoldn,0.742947368,162868.0526,0.655684211,0.008539196,0.146673684,-5.020052632,0.112747368,120.7606316,0.545252632,74.26315789
25,1,2,0.428,27CLUB,0.514,155893,0.712,8.77E-06,0.112,-7.281,0.334,76.393,0.487,68
26,1,2,0.0158,2Baba,0.591,283000,0.602,0,0.278,-7.483,0.386,147.957,0.355,0
27,1,4,0.603,2CELLOS,0.5865,253046.5,0.499,0.42984,0.149,-8.705,0.04035,122.251,0.6005,59
28,1,4,0.2912,2KBABY,0.6225,147745,0.418,0,0.203,-9.2685,0.479,103.163,0.402,69.5
29,1,6,0.085223333,2NE1,0.688,217679.3333,0.732,0.033413333,0.0928,-3.418333333,0.038833333,128.237,0.59,58.66666667
30,1,2,0.176,2PM,0.615,200827,0.901,0,0.204,-4.457,0.0302,131.989,0.779,48
31,1,272,0.133566868,2Pac,0.773393382,262530.9191,0.704150735,0.007963721,0.224100735,-7.133066176,0.223157353,107.8097904,0.607426471,49.125
32,0,1,0.1,2WEI,0.14,204587,0.478,0.000112,0.105,-10.145,0.0484,185.121,0.0412,75
33,0,7,0.046651429,2nd II None,0.907142857,225805.7143,0.533,1.45E-06,0.295428571,-11.43957143,0.224857143,102.7008571,0.766285714,35.14285714
34,1,51,0.040607529,3 Doors Down,0.505862745,232945.6078,0.789901961,0.006610647,0.160898039,-5.749568627,0.038417647,130.7540588,0.451823529,50.01960784
35,1,106,0.020677875,311,0.615735849,209539.8679,0.824018868,0.013856277,0.169637736,-7.346490566,0.065045283,134.8383208,0.618577358,40.45283019
36,0,2,0.671,347aidan,0.98,180139,0.413,7.95E-05,0.17,-11.052,0.101,119.993,0.764,77
37,1,78,0.029172821,38 Special,0.529076923,254299.0769,0.621897436,0.028740014,0.12165641,-11.3754359,0.032105128,126.7031282,0.778461538,32.79487179
38,1,2,0.1492,3BallMTY,0.7285,211386.5,0.916,1.56E-05,0.133,-4.36,0.18375,131.919,0.8585,55
39,1,1,0.183,3LAU,0.496,210469,0.789,0,0.34,-3.648,0.0839,127.961,0.286,52
40,0,5,0.0558,3LW,0.7178,272055.8,0.7196,2.17E-05,0.15058,-5.9238,0.11084,129.6848,0.6678,49.4
41,0,3,0.349666667,3T,0.669666667,320777.6667,0.435666667,0.000150967,0.330666667,-11.056,0.0342,113.091,0.479333333,45.33333333
42,1,6,0.159066667,3rd Bass,0.850333333,245560,0.665666667,0,0.157866667,-13.846,0.253333333,105.8423333,0.650333333,28.33333333
43,1,12,0.18415,4 Non Blondes,0.528666667,239673.3333,0.57,5.10E-07,0.126633333,-10.1005,0.03825,117.8765,0.446166667,48.33333333
44,0,4,0.0104,4 Skins,0.2655,158007,0.9295,2.61E-06,0.6155,-4.733,0.125,154.4345,0.4985,33.5
45,0,9,0.196977778,42 Dugg,0.846888889,175771,0.566555556,0,0.151466667,-6.050555556,0.340888889,126.2526667,0.339666667,69.22222222
46,1,8,0.016083825,45 Grave,0.4175,162716.75,0.79125,0.41150196,0.139525,-8.59175,0.066975,155.6615,0.64775,30.5
47,1,6,0.282333333,4Him,0.476333333,290636.3333,0.487333333,0.001573783,0.111333333,-10.05633333,0.030133333,111.2396667,0.311666667,33.66666667
48,1,2,0.00589,4Minute,0.54,192400,0.929,4.01E-06,0.424,-2.646,0.278,176.023,0.624,61
49,1,178,0.122386348,50 Cent,0.695039326,234964.0899,0.76238764,0.000548475,0.198361236,-4.149426966,0.259516292,105.929427,0.589769663,52.34269663
50,1,4,0.01643,504 Boyz,0.809,212434,0.624,0,0.2355,-8.81,0.2565,125.0315,0.532,47.5
51,1,2,0.996,520Hz,0,197680,0.0197,0.996,0.104,-47.19,0,0,0,57
52,0,1,0.158,5th Ward Boyz,0.842,352173,0.336,0,0.256,-8.227,0.379,78.001,0.599,36
53,0,8,0.03269,69 Boyz,0.851,256279.75,0.742,0,0.18345,-11.60925,0.22375,133.01425,0.6795,41.75
54,1,46,0.266721304,6LACK,0.637130435,220217.8913,0.520434783,0.001885923,0.122969565,-7.958130435,0.16056087,121.3756304,0.308895652,63.86956522
55,1,4,0.443,6cyclemind,0.7175,295993,0.4735,0.00158574,0.131,-8.5365,0.03095,97.2875,0.47,57.5
56,1,26,0.112184615,6ix9ine,0.733730769,156294.8462,0.697923077,4.61E-06,0.144330769,-5.134038462,0.240761538,123.0933846,0.455384615,69.30769231
57,0,2,9.03E-06,7 Year Bitch,0.349,167333,0.709,0.0095,0.147,-12.339,0.0336,114.581,0.708,41
58,1,9,0.197222222,702,0.74,255970.2222,0.611222222,0.004330793,0.164422222,-8.151888889,0.065811111,99.07033333,0.59,52.11111111
59,1,4,0.00857,808 State,0.5535,285153.5,0.8715,0.5855,0.1215,-8.0475,0.05975,128.4775,0.5025,42
60,0,2,0.0166,88GLAM,0.764,180813,0.672,1.06E-06,0.103,-4.274,0.0655,150.021,0.594,68
61,1,6,0.527466667,88rising,0.585,209444.6667,0.463166667,4.60E-05,0.21815,-9.008666667,0.091983333,109.5878333,0.385333333,69.83333333
62,1,13,0.073376923,8Ball,0.780538462,282367.3077,0.664384615,0.0006,0.242384615,-6.487769231,0.1845,122.0759231,0.539076923,42.53846154
63,0,2,0.952,90sFlav,0.748,126250,0.265,0.917,0.0866,-12.074,0.229,77.009,0.14,70
64,0,2,0.637,916frosty,0.597,248803,0.559,0,0.137,-7.219,0.0835,145.826,0.268,66
65,1,1,0.139,93FEETOFSMOKE,0.816,148140,0.577,0,0.0827,-5.998,0.41,171.028,0.459,66
66,1,20,0.34703,98,0.61025,250582.6,0.581,3.55E-07,0.113165,-8.21425,0.041735,101.6388,0.42775,49
67,1,6,0.030186667,999,0.596,217075.3333,0.631,0.282667583,0.1723,-9.655333333,0.0489,132.0906667,0.514666667,33.66666667
68,0,6,0.033133333,9lokknine,0.864333333,181220,0.544,0,0.1746,-8.401333333,0.272666667,90.15666667,0.521,67.66666667
69,1,2,0.404,9tails,0.711,217182,0.545,0,0.122,-6.81,0.0322,108.02,0.345,66
70,1,18,0.218107778,? & The Mysterians,0.632333333,146582.3333,0.670888889,0.174584277,0.151988889,-8.077222222,0.042188889,111.3006667,0.805888889,25.11111111
71,0,75,0.2533864,A Boogie Wit da Hoodie,0.730093333,200451.88,0.62684,1.62E-06,0.164902667,-7.011053333,0.229846667,118.7338667,0.500733333,66.64
72,1,104,0.026354052,A Day To Remember,0.402596154,207746.1538,0.916730769,7.33E-05,0.285265385,-4.427519231,0.111317308,144.2214615,0.458826923,53.42307692
73,1,2,0.947,A Fine Frenzy,0.549,268800,0.24,0,0.106,-7.778,0.0338,119.58,0.167,54
74,1,8,0.6258,A Great Big World,0.4695,243813.5,0.374625,0.000201443,0.113625,-8.29675,0.043625,119.454125,0.22725,59.125
75,1,2,0.854,A Heart Beats,0.507,146173,0.255,0,0.172,-11.857,0.0651,97.231,0.438,37
76,1,59,0.109087908,A Perfect Circle,0.519525424,251080.3898,0.622520339,0.296638305,0.135864407,-9.76320339,0.055608475,124.4771017,0.256277966,49.47457627
77,1,6,0.1363,A R I Z O N A,0.676,182859.6667,0.612666667,0.116733333,0.1313,-8.663333333,0.060333333,101.286,0.228,66.33333333
78,1,8,0.00121075,A Skylit Drive,0.25275,210366.75,0.9275,0.000350395,0.2539,-3.42325,0.094425,123.785,0.306,45
79,0,8,0.326025,A Taste Of Honey,0.75475,280870,0.53875,0.000627475,0.121125,-9.2815,0.057625,126.93325,0.749,45.75
80,0,4,0.31425,A Touch Of Class,0.6755,181186.5,0.91725,0.033055,0.11875,-6.03175,0.030325,128.456,0.605,63.75
81,0,2,0.023,A Tribe Called Red,0.658,219853,0.573,0.0613,0.0981,-5.408,0.107,133.442,0.583,52
82,1,1,0.0889,A$AP ANT,0.9,236227,0.532,0,0.0533,-5.516,0.0744,140.023,0.592,59
83,1,9,0.244255556,A$AP Mob,0.780666667,237664.6667,0.717888889,1.84E-06,0.158911111,-5.916666667,0.2586,129.4382222,0.491,59.22222222
84,1,96,0.193702406,A$AP Rocky,0.671229167,219365.4271,0.66903125,0.015331933,0.209775,-6.87225,0.190591667,128.9268854,0.39188125,63.39583333
85,1,6,0.04309,A*Teens,0.717,202773.6667,0.879,0.009303333,0.257433333,-5.705666667,0.036566667,124.9966667,0.789,45.33333333
86,1,4,0.0209,A-Lusion,0.5105,338208.5,0.9185,0.174,0.1256,-4.0415,0.0407,150.0085,0.2395,0
87,0,5,0.009398,A-Trak,0.7048,287949.6,0.7302,0.1555734,0.17292,-3.6818,0.13292,131.1848,0.8042,56.6
88,1,22,0.899681818,A. M. Rajah,0.541772727,188202.0455,0.458077273,0.291998749,0.230986364,-10.32381818,0.112659091,131.5843182,0.858909091,4.818181818
89,0,2,0.494,A.CHAL,0.734,165214,0.472,0.00293,0.102,-8.192,0.306,190.011,0.387,64
90,1,8,0.3355525,A.R. Rahman,0.65225,360520.75,0.512875,8.30E-05,0.082875,-11.055,0.0536625,122.08775,0.5745,56.125
91,0,3,0.166633333,A7S,0.742666667,168293,0.726,0,0.154666667,-5.921333333,0.198,121.2963333,0.554666667,87
92,1,252,0.345721746,ABBA,0.575166667,232053.7302,0.659585714,0.020649907,0.205304762,-8.492928571,0.03805,121.5762063,0.667936508,43.25396825
93,1,18,0.231155556,ABC,0.687333333,231968.4444,0.788666667,0.022105362,0.1832,-7.475555556,0.060633333,122.3861111,0.774888889,42.44444444
94,0,8,0.160175,ABN,0.75725,300163.25,0.72525,0,0.22275,-6.952,0.19,137.1425,0.54975,42
95,1,1,0.0383,ABSRDST,0.651,241711,0.793,0.022,0.178,-5.288,0.0837,146.07,0.261,52
96,0,2,0.000319,ACOT,0.73,169912,0.567,8.54E-06,0.105,-8.085,0.0587,119.997,0.171,62
97,0,72,0.006557275,AFI,0.390138889,187259.2222,0.905722222,0.031634462,0.222552778,-5.111388889,0.087366667,127.02575,0.444338889,42.22222222
98,0,2,0.262,AILEE,0.606,232333,0.872,0,0.125,-2.114,0.0519,129.965,0.226,58
99,1,5,0.5154,AJ Rafael,0.68,208678,0.4596,0,0.13936,-6.3206,0.03478,113.7878,0.6424,61.6
100,1,18,0.230612667,AJJ,0.524,155697.6667,0.633111111,7.22E-06,0.292277778,-6.656,0.067033333,105.0102222,0.764222222,48.44444444
101,1,59,0.172479864,AJR,0.605389831,216583.2034,0.662745763,0.000138779,0.167018644,-5.570847458,0.068189831,114.0378475,0.525457627,57.6440678
102,1,1,0.282,AL-X The Great,0.797,173558,0.518,0,0.0954,-12.625,0.281,139.988,0.717,54
103,0,2,0.0989,ALI,0.578,89667,0.875,0,0.351,-2.132,0.0642,133.964,0.617,64
104,1,1,0.271,ALLBLACK,0.922,210338,0.703,0,0.227,-4.652,0.259,104.979,0.685,58
105,1,1,0.362,ALO,0.815,218973,0.412,0.00048,0.129,-9.28,0.0438,87.983,0.669,57
106,1,2,0.43,AOA,0.758,179808,0.858,0,0.201,-2.502,0.0464,119.992,0.963,56
107,1,2,0.0268,ARTY,0.438,224520,0.856,6.27E-06,0.375,-4.158,0.0584,127.991,0.49,57
108,0,6,0.102866667,ATB,0.680333333,225377.6667,0.918666667,0.76,0.189266667,-6.191666667,0.0397,131.479,0.743666667,58
109,0,2,0.0503,ATEEZ,0.572,199013,0.964,0,0.372,-1.949,0.123,129.979,0.519,68
110,1,10,0.7166,AURORA,0.431,211047,0.27652,0.000141274,0.1402,-11.0328,0.0485,122.563,0.274,61.6
111,1,2,0.0351,AViVA,0.549,228904,0.656,1.19E-06,0.129,-6.515,0.0438,180.043,0.594,62
112,0,2,0.137,AWAY,0.72,212571,0.633,0.00157,0.122,-5.212,0.0633,140.027,0.634,58
113,1,17,0.256893529,AWOLNATION,0.628411765,216051,0.688,0.338922435,0.295705882,-7.504470588,0.049264706,135.2505294,0.426235294,55.35294118
114,1,19,0.180465579,AZ,0.726578947,253800.7368,0.646368421,0.000607965,0.236668421,-7.812157895,0.297315789,97.83547368,0.620315789,44.78947368
115,0,39,0.172010769,Aaliyah,0.677871795,251971.4615,0.601358974,0.009464694,0.220041026,-8.014794872,0.102261538,124.3112564,0.641153846,43.66666667
116,1,125,0.955224,Aaron Copland,0.3502792,259123.568,0.1560196,0.436706174,0.157872,-19.230776,0.0638368,106.760888,0.2237472,7.56
117,0,16,0.0393825,Aaron Hall,0.7086875,315113.25,0.6419375,4.88E-05,0.2420125,-7.8096875,0.051775,126.084125,0.4845625,39.25
118,0,1,0.758,Aaron Krause,0.325,223893,0.201,0,0.0977,-11.595,0.0282,81.869,0.172,67
119,0,4,0.9925,Aaron Lansing,0.413,134934.5,0.0211,0.9465,0.11425,-27.8425,0.0566,94.446,0.161,62
120,0,4,0.2055,Aaron May,0.7735,183568.5,0.4975,1.82E-05,0.133,-8.2015,0.18265,141.0915,0.5765,65
121,1,4,0.02325,Aaron Shust,0.5015,273220,0.6705,0,0.19175,-4.918,0.03605,113.99,0.3105,51
122,1,22,0.199845455,Aaron Tippin,0.652454545,198106.7273,0.648272727,5.32E-05,0.158972727,-8.830818182,0.030009091,113.9722727,0.594545455,41.54545455
123,1,8,0.083475,Aaron Watson,0.6535,232576.75,0.579,4.60E-06,0.1338,-7.05525,0.03165,138.97075,0.49125,50.25
