,mode,count,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,1,122,0.173145082,"""Weird Al"" Yankovic",0.662786885,218948.1967,0.6953934429999999,4.98e-05,0.161101639,-9.768704918,0.08453606599999999,133.03118030000002,0.751344262,34.229508200000005
1,1,2,0.239,$atori Zoom,0.883,141519.0,0.625,0.0,0.0765,-4.098,0.245,126.677,0.871,67.0
2,1,125,0.14148488,$uicideBoy$,0.749344,146386.392,0.635552,0.045675096,0.20225279999999998,-6.631303999999999,0.156108,115.022024,0.2872856,61.8
3,1,9,0.553888889,'Legally Blonde' Ensemble,0.648444444,304211.8889,0.441111111,2.54e-05,0.214666667,-11.45977778,0.495111111,114.80844440000001,0.5247777779999999,48.66666667
4,1,16,0.10555625,'Til Tuesday,0.557125,255213.5,0.61225,0.023300252999999996,0.1275875,-9.638125,0.03215,103.08025,0.532625,34.625
5,0,4,0.011235,(G)I-DLE,0.6405,196969.0,0.8,0.0,0.252,-4.4735,0.04875,151.01325,0.375,79.25
6,1,105,0.191610743,*NSYNC,0.6087428570000001,236775.1524,0.694428571,0.00270321,0.20285999999999998,-6.2738,0.057138095,115.6158857,0.564780952,45.37142857
7,0,7,0.122685714,03 Greedo,0.688428571,220377.7143,0.586857143,5.71e-07,0.148185714,-7.505285713999999,0.058714286,87.36128571,0.37285714299999995,59.28571429
8,0,2,0.0217,10 Ft. Ganja Plant,0.789,236253.0,0.7929999999999999,0.826,0.11199999999999999,-6.629,0.107,149.368,0.743,50.0
9,1,42,0.190832857,"10,000 Maniacs",0.58447619,236012.61899999998,0.54207619,0.008760404,0.22970476199999998,-13.28804762,0.037852381000000004,118.4760952,0.573809524,37.0
10,1,16,0.588875,101 Strings Orchestra,0.292525,173106.375,0.397,0.7145375,0.195375,-13.496375,0.037975,100.623125,0.391525,27.0
11,1,38,0.230821053,10cc,0.5606315789999999,298796.5789,0.567315789,0.007471384,0.15209473699999998,-10.35405263,0.066110526,121.8002632,0.555,41.57894737
12,1,48,0.13861791699999998,112,0.677416667,270513.9167,0.5333958329999999,0.000164532,0.13380625,-7.6165833329999995,0.106570833,114.64527079999999,0.551166667,50.16666667
13,1,12,0.08026649999999999,12 Stones,0.38583333299999995,204280.1667,0.888833333,2.73e-06,0.249233333,-3.887,0.0693,138.6921667,0.450666667,50.5
14,1,8,0.4185,1910 Fruitgum Company,0.757,140750.0,0.60525,0.00077785,0.12425,-9.72575,0.044725,128.4975,0.8995,24.25
15,0,2,0.735,1way Frank,0.7829999999999999,170867.0,0.38,1.58e-06,0.158,-8.507,0.0974,99.802,0.84,56.0
16,1,127,0.135492835,2 Chainz,0.749314961,235681.5197,0.650291339,0.0005069159999999999,0.218785039,-6.1097480310000005,0.22207637800000002,130.1137717,0.496820472,57.02362205
17,1,42,0.052960762,2 LIVE CREW,0.873095238,233437.4286,0.660333333,0.013121117,0.390152381,-11.56585714,0.186066667,126.4129524,0.6103333329999999,35.80952381
18,0,8,0.030780000000000002,2 Unlimited,0.69825,228208.0,0.92175,0.00642235,0.083525,-11.52175,0.059025,130.9715,0.7685,55.75
19,1,2,0.0443,20-2-Life,0.851,403467.0,0.451,0.297,0.127,-10.707,0.267,117.84700000000001,0.25,33.0
20,1,6,0.905,2002,0.22899999999999998,267840.3333,0.155,0.8523333329999999,0.105266667,-19.01433333,0.035533333,114.31200000000001,0.06333333299999999,48.33333333
21,1,2,4.5799999999999995e-05,220 Volt,0.8340000000000001,309747.0,0.605,0.45399999999999996,0.295,-14.530999999999999,0.248,139.997,0.515,0.0
22,1,2,0.281,22Gz,0.83,190746.0,0.574,0.0,0.124,-6.892,0.701,143.892,0.5379999999999999,70.0
23,1,4,0.0598,24hrs,0.5405,197806.5,0.74,0.0,0.12435,-5.4345,0.18005,117.9925,0.34,66.5
24,0,19,0.14452526300000001,24kGoldn,0.7429473679999999,162868.0526,0.655684211,0.008539196,0.146673684,-5.020052632,0.112747368,120.76063159999998,0.5452526320000001,74.26315789
25,1,2,0.428,27CLUB,0.514,155893.0,0.7120000000000001,8.77e-06,0.11199999999999999,-7.281000000000001,0.33399999999999996,76.393,0.48700000000000004,68.0
26,1,2,0.0158,2Baba,0.591,283000.0,0.602,0.0,0.278,-7.483,0.386,147.957,0.355,0.0
27,1,4,0.603,2CELLOS,0.5865,253046.5,0.499,0.42983999999999994,0.149,-8.705,0.04035,122.251,0.6005,59.0
28,1,4,0.2912,2KBABY,0.6225,147745.0,0.418,0.0,0.203,-9.2685,0.479,103.163,0.402,69.5
29,1,6,0.08522333300000001,2NE1,0.688,217679.3333,0.732,0.033413332999999996,0.0928,-3.418333333,0.038833333,128.237,0.59,58.66666667
30,1,2,0.17600000000000002,2PM,0.615,200827.0,0.9009999999999999,0.0,0.204,-4.457,0.0302,131.989,0.779,48.0
31,1,272,0.133566868,2Pac,0.7733933820000001,262530.9191,0.704150735,0.007963721,0.224100735,-7.133066176,0.223157353,107.80979040000001,0.607426471,49.125
32,0,1,0.1,2WEI,0.14,204587.0,0.478,0.00011200000000000001,0.105,-10.145,0.0484,185.12099999999998,0.0412,75.0
33,0,7,0.046651429,2nd II None,0.9071428570000001,225805.7143,0.5329999999999999,1.45e-06,0.29542857100000003,-11.43957143,0.224857143,102.7008571,0.766285714,35.14285714
34,1,51,0.040607528999999996,3 Doors Down,0.505862745,232945.6078,0.789901961,0.006610647,0.160898039,-5.749568627,0.038417647,130.7540588,0.451823529,50.01960784
35,1,106,0.020677875,311,0.615735849,209539.8679,0.824018868,0.013856277,0.169637736,-7.346490566,0.065045283,134.83832080000002,0.618577358,40.45283019
36,0,2,0.6709999999999999,347aidan,0.98,180139.0,0.413,7.950000000000001e-05,0.17,-11.052,0.10099999999999999,119.993,0.764,77.0
37,1,78,0.029172821,38 Special,0.529076923,254299.0769,0.621897436,0.028740013999999998,0.12165641,-11.3754359,0.032105128,126.70312820000001,0.778461538,32.79487179
38,1,2,0.1492,3BallMTY,0.7285,211386.5,0.9159999999999999,1.56e-05,0.133,-4.36,0.18375,131.91899999999998,0.8585,55.0
39,1,1,0.183,3LAU,0.496,210469.0,0.789,0.0,0.34,-3.648,0.0839,127.961,0.28600000000000003,52.0
