,genres,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,mode,count
0,"['comedy rock', 'comic', 'parody']","""Weird Al"" Yankovic",0.173145082,0.662786885,218948.1967,0.6953934429999999,4.98e-05,0.161101639,-9.768704918,0.08453606599999999,133.03118030000002,0.751344262,34.229508200000005,1,122
1,"['dark trap', 'meme rap']",$atori Zoom,0.239,0.883,141519.0,0.625,0.0,0.0765,-4.098,0.245,126.677,0.871,67.0,1,2
2,"['dark trap', 'new orleans rap', 'underground hip hop']",$uicideBoy$,0.14148488,0.749344,146386.392,0.635552,0.045675096,0.20225279999999998,-6.631303999999999,0.156108,115.022024,0.2872856,61.8,1,125
3,"['broadway', 'hollywood', 'show tunes']",'Legally Blonde' Ensemble,0.553888889,0.648444444,304211.8889,0.441111111,2.54e-05,0.214666667,-11.45977778,0.495111111,114.80844440000001,0.5247777779999999,48.66666667,1,9
4,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']",'Til Tuesday,0.10555625,0.557125,255213.5,0.61225,0.023300252999999996,0.1275875,-9.638125,0.03215,103.08025,0.532625,34.625,1,16
5,"['k-pop', 'k-pop girl group']",(G)I-DLE,0.011235,0.6405,196969.0,0.8,0.0,0.252,-4.4735,0.04875,151.01325,0.375,79.25,0,4
6,"['boy band', 'dance pop', 'europop', 'pop']",*NSYNC,0.191610743,0.6087428570000001,236775.1524,0.694428571,0.00270321,0.20285999999999998,-6.2738,0.057138095,115.6158857,0.564780952,45.37142857,1,105
7,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']",03 Greedo,0.122685714,0.688428571,220377.7143,0.586857143,5.71e-07,0.148185714,-7.505285713999999,0.058714286,87.36128571,0.37285714299999995,59.28571429,0,7
8,"['dub', 'east coast reggae', 'reggae', 'reggae rock', 'roots reggae']",10 Ft. Ganja Plant,0.0217,0.789,236253.0,0.7929999999999999,0.826,0.11199999999999999,-6.629,0.107,149.368,0.743,50.0,0,2
9,"['alternative rock', 'dance rock', 'folk', 'lilith', 'mellow gold', 'new wave pop', 'pop rock']","10,000 Maniacs",0.190832857,0.58447619,236012.61899999998,0.54207619,0.008760404,0.22970476199999998,-13.28804762,0.037852381000000004,118.4760952,0.573809524,37.0,1,42
